Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,Unnamed: 17,Latitude,Longitude,GSPGroup
Anesco,Puriton,Solar,PV,No,Solar,, 	4.6 ,LV,England,South West,TA64TG,,332462.0,142273.0,2015.0,SOL-000443,,51.17568739645036,-2.967511721804647,_L
Anesco,Bourne Park,Solar,PV,No,Solar,, 	0.2 ,LV,England,South West,DT27TU,,372107.0,97577.0,2012.0,SOL-000481,,50.777095250459965,-2.396971181638148,_H
Anesco,Owls Lodge,Solar,PV,No,Solar,, 	10.0 ,LV,England,South East,SP116PL,,443869.0,142971.0,2013.0,SOL-000585,,51.184291821240144,-1.3737213379447502,_H
Anesco,Shelswell,Solar,PV,No,Solar,, 	5.1 ,LV,England,South East,OX278EH,,460822.0,230982.0,2013.0,SOL-000589,,51.97398724491584,-1.1159749338306326,_H
Anesco,Skylark,Solar,PV,No,Solar,, 	4.9 ,LV,England,East of England,CB232SZ,,531754.0,257635.0,2013.0,SOL-000591,,52.201206427288994,-0.07353145369535835,_A
Anesco,Halse Solar Farm,Solar,PV,No,Solar,, 	8.3 ,LV,England,South West,TA43LY,,315101.0,128738.0,2013.0,SOL-000608,,51.05168958297473,-3.2126171862446515,_L
Anesco,Jordanston Solar Farm,Solar,PV,No,Solar,, 	4.6 ,LV,Wales,Wales,SA708NQ,,206785.0,201103.0,2013.0,SOL-000610,,51.67537636128584,-4.795876577444222,_K
Anesco,Horsacott Solar Farm,Solar,PV,No,Solar,, 	6.5 ,LV,England,South West,EX312PD,,252330.0,131541.0,2013.0,SOL-000616,,51.06415891253853,-4.108794719494922,_L
Anesco,Sandys Moor,Solar,PV,No,Solar,, 	2.9 ,LV,England,South West,TA42LY,,308509.0,127381.0,2013.0,SOL-000620,,51.03847677902225,-3.3062957355288325,_L
Anesco,East Farm,Solar,PV,No,Solar,, 	6.8 ,LV,England,South West,BA120PG,,398727.0,142115.0,2013.0,SOL-000625,,51.17826771955852,-2.019591559335808,_H
