Company Name [note 30],Site Name,Latitude,Longitude
"Uniper UK", "Grain (OCGT)", 51.444995, 0.715827
"Anesco", "Low Farm", 53.100627, 0.184927
"Greencoat Capital", "Eynsham", 51.779715, -1.408852
"Greencoat Capital", "Stokeford", 50.688861, -2.182478
"Greencoat Capital", "Elms", 52.209867, -1.576519
"Anesco", "Siddington", 51.689257, -1.950027
"Anesco", "Alfreton", 53.109947, -1.378277
"RES Group", "SPD 2 - Hall Farm", 52.509133, 1.237418
"Anesco", "Walley Corner", 51.657397, -1.162559
"Greencoat Capital", "Carmarthen", 51.832247, -4.280138
"Ecotricity", "Ecotech", 52.656205, 0.683625
"Ecotricity", "RSPB", 52.1206, -0.264968
"Temporis Capital", "Osspower", 56.325105, -4.724379
"Temporis Capital", "Upper Falloch", 56.357389, -4.679623
"Ecotricity", "H&H", 53.680197, -1.079419
"Lightsource BP", "Hafod SPV", 51.728137, -3.159273
