,dukes_site_name,bm_unit_id
0,Drax Power Station Biomass Units,T_DRAXX-4
1,Drax Power Station Biomass Units,T_DRAXX-3
2,Drax Power Station Biomass Units,T_DRAXX-1
3,Drax Power Station Biomass Units,T_DRAXX-6
4,Drax Power Station Biomass Units,T_DRAXX-5
5,Drax Power Station Biomass Units,T_DRAXX-2
6,Drax Power Station Biomass Units,T_DRAXX-10G
7,Drax Power Station Biomass Units,T_DRAXX-9G
8,Drax Power Station Biomass Units,T_DRAXX-12G
9,Pembroke,T_PEMB-51
10,Pembroke,T_PEMB-41
11,Pembroke,T_PEMB-31
12,Pembroke,T_PEMB-21
13,Pembroke,T_PEMB-11
14,Staythorpe,T_STAY-1
15,Staythorpe,T_STAY-2
16,Staythorpe,T_STAY-3
17,Staythorpe,E_STAYD-1
18,Staythorpe,T_STAY-4
19,Dinorwig Power Station,T_DINO-6
20,Dinorwig Power Station,T_DINO-5
21,Dinorwig Power Station,T_DINO-4
22,Dinorwig Power Station,T_DINO-3
23,Dinorwig Power Station,T_DINO-2
24,Dinorwig Power Station,T_DINO-1
25,Grain,T_GRAI-7
26,Grain,T_GRAISC-1
27,Grain,T_GRAI1G
28,Grain,T_GRAI4G
29,Grain,T_GRAI-S
30,Grain,T_GRAISC-2
31,Grain,T_GRAI-6
32,Grain,T_GRAI-8
33,Didcot B,T_DIDCB6
34,Didcot B,E_DIDCBD-1
35,Didcot B,T_DIDCB5
36,Hornsea 02,T_HOWBO-2
37,Hornsea 02,T_HOWBO-3
38,Hornsea 02,T_HOWBO-1
39,Connahs Quay,T_CNQPS-2
40,Connahs Quay,T_CNQPS-3
41,Connahs Quay,T_CNQPS-4
42,Connahs Quay,T_CNQPS-1
43,EP SHB LTD,T_SHBA-1
44,EP SHB LTD,T_SHBA-2
45,West Burton CCGT,T_WBURB-1
46,West Burton CCGT,T_WBURB-3
47,West Burton CCGT,T_WBURB-2
48,VPI,T_HUMR-1
49,Heysham 2,T_HEYM27
50,Heysham 2,T_HEYM2-D
51,Heysham 2,T_HEYM28
52,Seabank Power Ltd,E_SEAB-2
53,Seabank Power Ltd,E_SEAB-1
54,Seabank Power Ltd,T_SEAB-2
55,Seabank Power Ltd,T_SEAB-1
56,Hornsea 01,T_HOWAO-1
57,Hornsea 01,T_HOWAO-3
58,Hornsea 01,T_HOWAO-2
59,Torness,T_TORN-1
60,Torness,T_TORN-2
61,Torness,T_TORN-D
62,Saltend Power Station,T_SCCL-2
63,Saltend Power Station,T_SCCL-3
64,Saltend Power Station,T_SCCL-1
65,Sizewell B,T_SIZB-2
66,Sizewell B,T_SIZB-D
67,Sizewell B,T_SIZB-1
68,Hartlepool,T_HRTL-1
69,Hartlepool,T_HRTL-2
70,Peterhead,T_PEHED-1
71,Peterhead,T_PEHE-1
72,Seagreen,T_SGRWO-4
73,Seagreen,T_SGRWO-1
74,Seagreen,T_SGRWD-1
75,Seagreen,T_SGRWO-5
76,Seagreen,T_SGRWO-2
77,Seagreen,T_SGRWO-3
78,Seagreen,T_SGRWO-6
79,Heysham 1,T_HEYM12
80,Heysham 1,T_HEYM11
81,Spalding Energy Company Ltd,T_SPLN-1
82,Moray Offshore Windfarm East Limited,T_MOWEO-2
83,Moray Offshore Windfarm East Limited,T_MOWEO-1
84,Moray Offshore Windfarm East Limited,T_MOWEO-3
85,EP Langage Ltd,T_LAGA-1
86,Marchwood Power,T_MRWD-1
87,Carrington Power,T_CARR-2
88,Carrington Power,T_CARR-1
89,Moray Offshore Windfarm West Limited,T_MOWWO-1
90,Moray Offshore Windfarm West Limited,T_MOWWO-2
91,Moray Offshore Windfarm West Limited,T_MOWWO-3
92,Moray Offshore Windfarm West Limited,T_MOWWO-4
93,Triton Knoll,T_TKNWW-1
94,Triton Knoll,T_TKNEW-1
95,Severn Power Ltd,T_SVRP-10
96,Severn Power Ltd,T_SVRP-20
97,Keadby 2,T_KEAD-2
98,Rocksavage Power Company Ltd,T_ROCK-1
99,Damhead Creek,T_DAMC-1
100,Coryton Energy Company Ltd,T_COSO-1
101,Medway,T_MEDP-1
102,Keadby,T_KEADGT-3
103,Keadby,T_KEAD-1
104,Little Barford,E_LBARD-1
